Timestamp,TrackID,Direction
2025-06-29 11:10:40,ID_1,entered
2025-06-29 11:10:50,ID_2,exited
2025-07-02 20:30:50,ID_1,exited
2025-07-02 20:30:53,ID_1,entered
2025-07-02 20:31:02,ID_1,exited
2025-07-02 20:31:05,ID_1,entered
2025-07-02 20:31:07,ID_1,exited
2025-07-02 20:31:09,ID_1,entered
2025-07-02 20:31:10,ID_1,exited
2025-07-02 20:31:11,ID_1,entered
2025-07-02 20:35:43,ID_1,exited
2025-07-02 20:35:52,ID_4,entered
2025-07-02 20:35:56,ID_4,exited
2025-07-02 20:35:59,ID_4,entered
2025-07-02 20:36:05,ID_4,exited
2025-07-02 20:36:06,ID_4,entered
2025-07-02 20:36:14,ID_4,exited
2025-07-02 20:36:14,ID_4,entered
2025-07-02 20:37:00,ID_7,exited
2025-07-02 20:37:00,ID_7,entered
2025-07-02 20:37:01,ID_7,exited
2025-07-02 20:37:02,ID_7,entered
2025-07-02 20:37:07,ID_7,exited
2025-07-02 20:37:07,ID_7,entered
2025-07-02 20:37:07,ID_7,exited
2025-07-02 20:37:15,ID_7,entered
2025-07-02 20:37:16,ID_9,entered
2025-07-02 20:37:36,ID_7,exited
2025-07-02 20:37:36,ID_7,entered
2025-07-02 20:37:36,ID_7,exited
2025-07-02 20:37:36,ID_7,entered
2025-07-02 20:37:39,ID_7,exited
2025-07-02 20:37:40,ID_7,entered
2025-07-02 20:37:46,ID_7,exited
2025-07-02 20:37:50,ID_7,entered
2025-07-02 20:37:50,ID_7,exited
2025-07-02 20:37:53,ID_7,entered
2025-07-02 20:38:03,ID_7,exited
2025-07-02 20:38:07,ID_7,entered
2025-07-02 20:38:41,ID_7,exited
2025-07-02 20:38:42,ID_7,entered
2025-07-02 20:38:42,ID_7,exited
2025-07-02 20:38:43,ID_7,entered
2025-07-02 20:38:48,ID_7,exited
2025-07-02 20:38:48,ID_7,entered
2025-07-02 20:38:49,ID_7,exited
2025-07-02 20:38:50,ID_7,entered
2025-07-02 20:39:02,ID_7,exited
2025-07-02 20:39:05,ID_7,entered
2025-07-02 20:46:32,ID_1,exited
2025-07-02 20:46:33,ID_1,entered
2025-07-02 21:04:54,ID_1,exited
2025-07-02 21:05:04,ID_1,entered
2025-07-02 21:05:33,ID_1,exited
2025-07-02 21:05:44,ID_1,entered
2025-07-02 21:05:46,ID_1,exited
2025-07-02 21:05:48,ID_1,entered
2025-07-02 21:06:15,ID_1,exited
2025-07-02 21:06:15,ID_1,entered
2025-07-02 21:06:16,ID_1,exited
2025-07-02 21:06:29,ID_1,entered
2025-07-02 21:06:31,ID_1,exited
2025-07-02 21:06:31,ID_1,entered
2025-07-02 21:06:32,ID_1,exited
2025-07-02 21:06:33,ID_1,entered
2025-07-02 21:06:34,ID_1,exited
2025-07-02 21:06:37,ID_1,entered
2025-07-02 21:06:37,ID_1,exited
2025-07-02 21:06:39,ID_1,entered
2025-07-02 21:06:40,ID_1,exited
